Pays;CODE;categorie;Continent;rang;Score;population;IDH;taux_de_croissance_demographique;degre_de_liberte_de_propriete;degre_de_liberte_face.a_la_corruption;degre_de_liberte_financiere;degre_de_liberte_fiscale;degre_de_liberte_monetaire;degre_de_liberte_de_travail;culture_democratique;efficacite_et_responsabilite_gouvernementale;degre_de_liberte_civile;niveau_de_participation_politique;pluralite_et_qualite_du_processus_electoral;degre_de_liberte_de_presse;indice_de_droit_politique;degre_de_liberte_economique;niveau_de_liberte_des_invistissements;Niveau_du_taux_marginal_d.imposition;Taille_de_l.etat;Taux_marginal_d.imposition;degre_de_liberte_de_commerce;Depenses_militaires_.._du_PIB.;Exportations_d.armes_..US_constant_1990.;Importations_d.armes_..US_constant_1990.;Personnel_militaire_.._de_la_main_d.œuvre_totale.;Personnel_militaire_.total.;Niveau_d.instabilite_politique;Depenses_publiques_totales_dans_le_secteur_de_l.education_.._du_PIB.;Taux_d.inscription_aux_etudes_primaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_secondaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_tertiaires.taux_brut.._de_la_population.;Degre_d.alphabetisation_chez_les_femmes_ayant_entre_15_et_24_ans.;Degre_d.alphabetisation_chez_les_hommes_ayant_entre_15_et_24_ans_...;Utilisateurs_d.Internet_.par_100_habitants.;Nombre_de_serveurs_securises_.par_million_d.habitants.
ethiopie;ETTH;regime autoritaire;CONTINENT AFRICAIN;119;3.72;91728849;0.5;0.46;30;27;20;74.8;67.1;55.5;5.63;3.57;6;5;0;37.5;6;52;0;7;6.32;35;65.6;0.87;769694444;193000000;0.32;138000;3.25;4.42;105;81;42.31;90.61;92.52;1.48;0.2
Finlande;FIN;democratie;CONTINENT EUROPEEN;9;NA;5413971;0.76;0.48;90;92;80;65.4;81.3;42.4;8.75;9.64;1;7.22;10;0.5;1;72.3;10;4;4.98;51;87.1;NA;110000000;76000000;0.92;25000;1;7.22;100;108;93.72;90.61;92.52;89.88;1612.68
France;FRA;democratie imparfaite;CONTINENT EUROPEEN;27;7.88;65635082;0.72;NA;80;68;70;53.8;82.3;51.6;NA;7.14;1;6.67;9.58;3.25;1;63.2;8;6;4.66;43;82.1;2.24;1067000000;92000000;NA;325600;1.13;5.52;107;110;58.3;90.61;92.52;81.44;409.34
Gabon;GAB;regime autoritaire;CONTINENT AFRICAIN;121;3.56;1632572;0.52;3.18;40;28;40;73.5;77.7;59.8;5;2.21;5;3.89;2.58;NA;6;56.4;4;5;5.97;40;61.1;1.42;769694444;1000000;NA;6700;NA;4.42;105;81;42.31;89.43;87.39;8.62;NA
Gambie;GMB;regime autoritaire;CONTINENT AFRICAIN;129;3.31;1791225;0.27;0.68;30;32;50;75;71;67.2;5;3.93;5;2.22;2.17;NA;5;58.8;6;7;6.32;30;60.5;1.22;769694444;244870690;0.11;800;3;NA;85;81;42.31;65.55;73.41;12.45;3.91
Georgie;GEO;regime hybride;CONTINENT EUROPEEN;90;5.53;4490700;0.5;2.27;40;38;60;87.8;74.4;92.1;5;3.21;3;5;8.25;27.56;4;69.4;2;10;6.32;20;89.2;3.14;769694444;244870690;1.35;32350;NA;1.98;106;81;27.93;99.85;99.75;36.94;NA
Ghana;GHA;democratie imparfaite;CONTINENT AFRICAIN;75;NA;25366462;0.38;-0.27;50;41;60;81.9;66.9;62.9;5;5;2;5;8.33;23;1;60.7;8;9;8.28;25;67.8;0.8;769694444;39000000;0.14;15500;2.25;4.42;110;58;NA;90.61;92.52;NA;2.96
Grece;GRC;democratie imparfaite;CONTINENT EUROPEEN;32;7.65;11092771;0.72;2.51;50;35;60;65.3;72.6;36.6;6.88;5.71;2;6.67;9.58;5;1;55.4;7;6;NA;40;82.1;2.37;769694444;33000000;2.92;147350;1.75;4.42;102;109;116.62;99.3;99.45;55.07;171.19
Guatemala;GTM;regime hybride;CONTINENT ASIATIQUE;78;5.88;15082831;0.43;2.59;30;32;50;79.6;77.3;53.5;4.38;6.43;4;3.33;7.92;27.25;4;60.9;8;7;8;31;84.6;0.45;769694444;2000000;0.7;42300;2.25;2.96;108;65;42.31;91.94;95.47;16;NA
Guinee;GIN;regime autoritaire;CONTINENT AFRICAIN;141;2.79;11451273;0.5;2.81;20;20;40;69.3;67.1;64.7;3.75;0.43;5;3.33;NA;26;5;50.8;6;7;6.32;30;61.2;2.98;769694444;4000000;0.26;12300;4;2.47;91;38;9.93;90.61;92.52;1.49;0.44
Guinee-Bissau;GNB;regime autoritaire;CONTINENT AFRICAIN;161;1.43;1663558;0.5;2.34;20;19;40;75.5;73.1;43.8;4.38;0.79;7;2.22;0;42.75;7;42.8;6;7;6.32;30;58.8;1.95;769694444;65000000;0.34;1320;2.88;4.42;91;81;42.31;98.52;97.72;13.94;1.36
Guyana;GBY;democratie imparfaite;CONTINENT AFRICAIN;73;NA;795369;0.5;1.37;30;27;30;64;77.4;65.3;4.38;5.36;3;5.56;7.92;27.56;2;51.3;0;7;4.28;33;71.5;1.18;769694444;244870690;0.36;1100;2.75;3.19;75;101;12.91;90.61;92.52;33;6.29
Haiti;HTI;regime autoritaire;CONTINENT AMERICAIN;112;3.96;10173775;0.33;NA;10;22;30;80.6;76;65.4;3.75;2.21;5;2.22;5.17;36.5;4;50.7;7;8;8.77;30;74.8;1.95;769694444;244870690;0;50;3.38;4.42;105;81;42.31;90.61;92.52;NA;1.67
Honduras;HND;regime hybride;CONTINENT AMERICAIN;83;5.84;7935846;0.45;-0.28;30;24;60;83.7;74.1;30;4.38;5.71;4;3.89;8.75;27.56;4;58.8;8;9;8.21;25;77.1;NA;769694444;0;0.63;20000;NA;4.42;109;73;NA;95.99;94;NA;9.45
